filename,prompt
synthetic_pluck_001.wav,"dark plucked tone, low pitch, short decay"
synthetic_pluck_002.wav,"balanced plucked tone, low pitch, short decay"
synthetic_pluck_003.wav,"bright plucked tone, low pitch, short decay"
synthetic_pluck_004.wav,"dark plucked tone, low pitch, medium decay"
synthetic_pluck_005.wav,"balanced plucked tone, low pitch, medium decay"
synthetic_pluck_006.wav,"bright plucked tone, low pitch, medium decay"
synthetic_pluck_007.wav,"dark plucked tone, low pitch, long decay"
synthetic_pluck_008.wav,"balanced plucked tone, low pitch, long decay"
synthetic_pluck_009.wav,"bright plucked tone, low pitch, long decay"
synthetic_pluck_010.wav,"dark plucked tone, low pitch, short decay"
synthetic_pluck_011.wav,"balanced plucked tone, low pitch, short decay"
synthetic_pluck_012.wav,"bright plucked tone, low pitch, short decay"
synthetic_pluck_013.wav,"dark plucked tone, low pitch, medium decay"
synthetic_pluck_014.wav,"balanced plucked tone, low pitch, medium decay"
synthetic_pluck_015.wav,"bright plucked tone, low pitch, medium decay"
synthetic_pluck_016.wav,"dark plucked tone, low pitch, long decay"
synthetic_pluck_017.wav,"balanced plucked tone, low pitch, long decay"
synthetic_pluck_018.wav,"bright plucked tone, low pitch, long decay"
synthetic_pluck_019.wav,"dark plucked tone, mid pitch, short decay"
synthetic_pluck_020.wav,"balanced plucked tone, mid pitch, short decay"
synthetic_pluck_021.wav,"bright plucked tone, mid pitch, short decay"
synthetic_pluck_022.wav,"dark plucked tone, mid pitch, medium decay"
synthetic_pluck_023.wav,"balanced plucked tone, mid pitch, medium decay"
synthetic_pluck_024.wav,"bright plucked tone, mid pitch, medium decay"
synthetic_pluck_025.wav,"dark plucked tone, mid pitch, long decay"
synthetic_pluck_026.wav,"balanced plucked tone, mid pitch, long decay"
synthetic_pluck_027.wav,"bright plucked tone, mid pitch, long decay"
synthetic_pluck_028.wav,"dark plucked tone, mid pitch, short decay"
synthetic_pluck_029.wav,"balanced plucked tone, mid pitch, short decay"
synthetic_pluck_030.wav,"bright plucked tone, mid pitch, short decay"
synthetic_pluck_031.wav,"dark plucked tone, mid pitch, medium decay"
synthetic_pluck_032.wav,"balanced plucked tone, mid pitch, medium decay"
synthetic_pluck_033.wav,"bright plucked tone, mid pitch, medium decay"
synthetic_pluck_034.wav,"dark plucked tone, mid pitch, long decay"
synthetic_pluck_035.wav,"balanced plucked tone, mid pitch, long decay"
synthetic_pluck_036.wav,"bright plucked tone, mid pitch, long decay"
synthetic_pluck_037.wav,"dark plucked tone, mid pitch, short decay"
synthetic_pluck_038.wav,"balanced plucked tone, mid pitch, short decay"
synthetic_pluck_039.wav,"bright plucked tone, mid pitch, short decay"
synthetic_pluck_040.wav,"dark plucked tone, mid pitch, medium decay"
synthetic_pluck_041.wav,"balanced plucked tone, mid pitch, medium decay"
synthetic_pluck_042.wav,"bright plucked tone, mid pitch, medium decay"
synthetic_pluck_043.wav,"dark plucked tone, mid pitch, long decay"
synthetic_pluck_044.wav,"balanced plucked tone, mid pitch, long decay"
synthetic_pluck_045.wav,"bright plucked tone, mid pitch, long decay"
synthetic_pluck_046.wav,"dark plucked tone, mid pitch, short decay"
synthetic_pluck_047.wav,"balanced plucked tone, mid pitch, short decay"
synthetic_pluck_048.wav,"bright plucked tone, mid pitch, short decay"
synthetic_pluck_049.wav,"dark plucked tone, mid pitch, medium decay"
synthetic_pluck_050.wav,"balanced plucked tone, mid pitch, medium decay"
synthetic_pluck_051.wav,"bright plucked tone, mid pitch, medium decay"
synthetic_pluck_052.wav,"dark plucked tone, mid pitch, long decay"
synthetic_pluck_053.wav,"balanced plucked tone, mid pitch, long decay"
synthetic_pluck_054.wav,"bright plucked tone, mid pitch, long decay"
