filename,prompt
real_pluck_001.wav,clear pluck moderate sustain
real_pluck_002.wav,bright metallic pluck short decay
real_pluck_003.wav,clear pluck near the bridge soft brightness
real_pluck_004.wav,bright short pluck
real_pluck_005.wav,clear pluck with short sustain
real_pluck_006.wav,crisp sharp pluck with fast decay
real_pluck_007.wav,dark mellow pluck with long sustain
real_pluck_008.wav,dark mellow pluck with short decay
real_pluck_009.wav,dark pluck near the neck wooden tone
real_pluck_010.wav,deep warm pluck soft attack
real_pluck_011.wav,soft percussive pluck near the bridge
real_pluck_012.wav,high bright pluck with moderate sustain
real_pluck_013.wav,high bright pluck with short decay
real_pluck_014.wav,light sparkling pluck airy tone
real_pluck_015.wav,low pitch mellow pluck
real_pluck_016.wav,medium force pluck long sustain
real_pluck_017.wav,medium force pluck muted tone
real_pluck_018.wav,medium pitch pluck percussive soft
real_pluck_019.wav,medium pitch pluck soft and round
real_pluck_020.wav,sharp bright pluck near the bridge short decay
real_pluck_021.wav,soft airy pluck near the neck long sustain
real_pluck_022.wav,soft delicate pluck with short resonance
real_pluck_023.wav,soft gentle pluck quickly muted
real_pluck_024.wav,higher-pitch soft round pluck 
real_pluck_025.wav,strong aggressive pluck ringing sustain
real_pluck_026.wav,strong aggressive pluck short muted decay
real_pluck_027.wav,thin bright pluck with metallic edge
real_pluck_028.wav,warm resonant pluck in the middle position
real_pluck_029.wav,warm wooden pluck muted decay
real_pluck_030.wav,warm wooden pluck short sustain
